"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\sem 5\project\E_ticket_system\backend\controllers\bookingController.js", "JavaScript", 90, 4, 5, 99
"d:\sem 5\project\E_ticket_system\backend\controllers\busController.js", "JavaScript", 3, 0, 1, 4
"d:\sem 5\project\E_ticket_system\backend\controllers\searchController.js", "JavaScript", 91, 13, 7, 111
"d:\sem 5\project\E_ticket_system\backend\jobs\DailyJob.js", "JavaScript", 4, 1, 0, 5
"d:\sem 5\project\E_ticket_system\backend\model\Booking.js", "JavaScript", 25, 0, 3, 28
"d:\sem 5\project\E_ticket_system\backend\model\Bus.js", "JavaScript", 7, 0, 0, 7
"d:\sem 5\project\E_ticket_system\backend\routes\booking.js", "JavaScript", 5, 0, 4, 9
"d:\sem 5\project\E_ticket_system\backend\server.js", "JavaScript", 1, 0, 0, 1
"d:\sem 5\project\E_ticket_system\backend\utils\normalTicketPrices.js", "JavaScript", -353, 0, -2, -355
"d:\sem 5\project\E_ticket_system\backend\utils\priceByNoOfHalts.js", "JavaScript", 353, 0, 2, 355
"Total", "-", 226, 18, 20, 264
